Unnamed: 0,Nome,Acurácia,Precisão,Recall,F1-score
225,ADA,0.9886790803391904,0.9823584029712163,0.9054343175010696,0.942329102649744
153,ADA,0.993268642363843,0.9751850239442752,0.9584937954642704,0.9667673716012084
69,ADA,0.7164087769909957,0.2499096276659838,0.8874625588361147,0.3899962391876646
237,ADA,0.9886790803391904,0.9896324222431668,0.8985879332477535,0.9419152276295134
57,ADA,0.922982778214879,0.9078014184397164,0.2738553701326487,0.42077580539119
249,ADA,0.7889675670950258,0.1748890629078569,0.2866923406076166,0.2172503242542152
9,ADA,0.7530378529591748,0.1774099318403116,0.3898160034231921,0.2438436830835118
297,ADA,0.925168283940904,1.0,0.2674368848951647,0.4220121539500338
141,ADA,0.9538858291808724,0.7013190954773869,0.9554985023534446,0.8089114290889331
177,ADA,0.9961972200367164,0.9955947136563876,0.9670517757809156,0.9811156935098764
105,ADA,0.9894658624005594,0.9746376811594204,0.9208386820710311,0.946974697469747
81,ADA,0.9554593933036104,0.7160655737704918,0.9345314505776636,0.81084091330982
165,ADA,0.992307019844392,0.9728665207877462,0.951219512195122,0.9619212462137604
201,ADA,0.9462802692543054,0.6861559139784946,0.8737697903294822,0.7686805947675512
285,ADA,0.9217151848937843,0.8945086705202312,0.2648694908001711,0.4087157477715417
213,ADA,0.979718506862488,0.9780500255232262,0.819854514334617,0.8919925512104283
273,ADA,0.9161640003496808,0.8556876061120543,0.2156611039794608,0.3444976076555024
261,ADA,0.8939592621732669,0.4663133989401968,0.2635857937526744,0.3367960634226353
117,ADA,0.983827257627415,0.9964664310954064,0.8446726572528883,0.9143121815655396
33,ADA,0.9276597604685723,0.9633152173913044,0.3033804022250749,0.4614383338756915
45,ADA,0.9321181921496634,0.9839506172839506,0.3410355156183141,0.5065141404512233
93,ADA,0.983827257627415,0.9758103531688436,0.8630723149336756,0.9159854677565848
21,ADA,0.9058921234373634,0.5734824281150159,0.3072314933675653,0.4001114516578434
129,ADA,0.7686860739575138,0.3011172432359671,0.9572100984167736,0.4581200081916855
189,ADA,0.7846839758720168,0.3076808795127024,0.8861788617886179,0.4567710630789589
151,Dtree,0.9673485444531864,0.8549107142857143,0.8194266153187848,0.8367926589469084
