,Nome,Acurácia,Precisão,Recall,F1-score,Matriz de Confusão
0,logreg,0.5846288822600456,0.593902106615786,0.5352517985611511,0.5630537507383344,"[[18066 10429]
 [13243 15252]]"
1,SVC,0.7949113879628005,0.8123861566484517,0.7669415686962625,0.7890100368257636,"[[23448  5047]
 [ 6641 21854]]"
2,KNN,0.5744692051237059,0.5930783402052812,0.47450429899982455,0.5272064414247558,"[[19218  9277]
 [14974 13521]]"
3,GaussianNB,0.5054395507983857,0.5038781024819856,0.7067555711528338,0.5883177774856491,"[[ 8666 19829]
 [ 8356 20139]]"
4,Perceptron,0.4956834532374101,0.4921795523906409,0.27166169503421655,0.35008932003708476,"[[20508  7987]
 [20754  7741]]"
5,LinearSVC,0.5833304088436568,0.5946204423191871,0.5236708194420073,0.5568949430863968,"[[18322 10173]
 [13573 14922]]"
6,SGD,0.5837690822951395,0.6331585406671874,0.3983154939463064,0.48900282199866446,"[[21919  6576]
 [17145 11350]]"
7,Dtree,0.6396385330759783,0.7177410528619897,0.46029127917178453,0.5608843464688148,"[[23337  5158]
 [15379 13116]]"
8,RForest,0.6389892963677838,0.9294155914561423,0.30082470608878753,0.45453099315976464,"[[27844   651]
 [19923  8572]]"
9,ADA,0.5273205825583436,0.5323122898767276,0.4500789612212669,0.48775386019624245,"[[17227 11268]
 [15670 12825]]"
10,GBC,0.5597648710300053,0.6059211344694614,0.3418845411475698,0.4371256141610392,"[[22159  6336]
 [18753  9742]]"
11,ETC,0.6327074925425513,0.9453539041337887,0.2816985436041411,0.43405612934623916,"[[28031   464]
 [20468  8027]]"
12,logreg,0.5071240568520793,0.5196629213483146,0.1882786453763818,0.2764110358329684,"[[23536  4959]
 [23130  5365]]"
13,SVC,0.7124758729601685,0.8460703058016577,0.5194595543077732,0.6437051532941944,"[[25802  2693]
 [13693 14802]]"
14,KNN,0.061958238287418844,0.04781915664396464,0.046323916476574835,0.04705966238257366,"[[ 2211 26284]
 [27175  1320]]"
15,GaussianNB,0.30638708545358834,0.0,0.0,0.0,"[[17461 11034]
 [28495     0]]"
16,Perceptron,0.4967713633970872,0.4960110995490808,0.40147394279698195,0.44376345545879475,"[[16871 11624]
 [17055 11440]]"
17,LinearSVC,0.5034041059835058,0.5101485666457418,0.17111773995437796,0.25627414395711245,"[[23813  4682]
 [23619  4876]]"
18,SGD,0.5255132479382347,0.5426593122872903,0.3245481663449728,0.40617519819048253,"[[20701  7794]
 [19247  9248]]"
19,Dtree,0.0,0.0,0.0,0.0,"[[    0 28495]
 [28495     0]]"
20,RForest,0.0012984734163888401,0.0,0.0,0.0,"[[   74 28421]
 [28495     0]]"
21,ADA,0.0,0.0,0.0,0.0,"[[    0 28495]
 [28495     0]]"
22,GBC,0.0,0.0,0.0,0.0,"[[    0 28495]
 [28495     0]]"
23,ETC,0.3324091945955431,0.1674211296051257,0.084365678189156,0.1121948942922481,"[[16540 11955]
 [26091  2404]]"
24,logreg,0.3886471310756273,0.23101051203797898,0.09563081242323214,0.13526594028443076,"[[19424  9071]
 [25770  2725]]"
25,SVC,0.6104404281452886,0.686235057403243,0.4069485874714862,0.5109157799660741,"[[23193  5302]
 [16899 11596]]"
26,KNN,0.052833830496578346,0.035878196255554745,0.03456746797683804,0.03521063825984378,"[[ 2026 26469]
 [27510   985]]"
