,Nome,Acurácia,Precisão,Recall,F1-score,Matriz de Confusão
0,logreg,0.6473467960486057,0.1031713059133084,0.31878476679503637,0.1558903536304666,"[[14065  6476]
 [ 1592   745]]"
1,SVC,0.8529591747530378,0.3305839656878918,0.4287548138639281,0.3733233979135619,"[[18512  2029]
 [ 1335  1002]]"
2,KNN,0.8912055249584754,0.4654231119199272,0.43774069319640563,0.4511576626240353,"[[19366  1175]
 [ 1314  1023]]"
3,GaussianNB,0.6804353527406242,0.17608752279239384,0.5785194694052204,0.2699950074887668,"[[14215  6326]
 [  985  1352]]"
4,Perceptron,0.505769735116706,0.09330794341675734,0.44030808729139925,0.15398428731762065,"[[10542  9999]
 [ 1308  1029]]"
5,LinearSVC,0.6522860389894222,0.097910105926138,0.2926829268292683,0.14673388394293685,"[[14239  6302]
 [ 1653   684]]"
6,SGD,0.6306058221872541,0.07340217694669271,0.22507488232777065,0.11070188361570031,"[[13901  6640]
 [ 1811   526]]"
7,Dtree,0.8151936358073258,0.2334367070764026,0.35430038510911427,0.28144119646498983,"[[17822  2719]
 [ 1509   828]]"
8,RForest,0.8780487804878049,0.3920914721295855,0.35216089002995293,0.3710550045085662,"[[19265  1276]
 [ 1514   823]]"
9,ADA,0.7530378529591748,0.1774099318403116,0.3898160034231921,0.2438436830835118,"[[16317  4224]
 [ 1426   911]]"
10,GBC,0.8257277734067663,0.23675813656668793,0.31750106974753955,0.2712484006580149,"[[18149  2392]
 [ 1595   742]]"
11,ETC,0.9073345572165399,0.5762473647224174,0.3508771929824561,0.43617021276595747,"[[19938   603]
 [ 1517   820]]"
12,logreg,0.8939592621732669,0.4763925729442971,0.3842533162173727,0.42539081004263385,"[[19554   987]
 [ 1439   898]]"
13,SVC,0.9500393391030685,0.9791332263242376,0.5220367993153616,0.6809935807982138,"[[20515    26]
 [ 1117  1220]]"
14,KNN,0.932599003409389,0.6966848095002474,0.6024818142918271,0.6461679669573199,"[[19928   613]
 [  929  1408]]"
15,GaussianNB,0.7291721304309817,0.213596556330711,0.6157466837826273,0.31716993608111094,"[[15243  5298]
 [  898  1439]]"
16,Perceptron,0.8387970976483958,0.21461765948457964,0.2173727000427899,0.21598639455782317,"[[18682  1859]
 [ 1829   508]]"
17,LinearSVC,0.8976309117929889,0.49841671944268523,0.33675652545999146,0.4019407558733401,"[[19749   792]
 [ 1550   787]]"
18,SGD,0.896669289273538,0.4909456740442656,0.31322207958921694,0.38244514106583066,"[[19782   759]
 [ 1605   732]]"
19,Dtree,0.9041437188565434,0.5489130434782609,0.345742404792469,0.4242583355211341,"[[19877   664]
 [ 1529   808]]"
20,RForest,0.9352216102806189,0.969264544456641,0.37783483097988874,0.5437192118226601,"[[20513    28]
 [ 1454   883]]"
21,ADA,0.9058921234373634,0.5734824281150159,0.3072314933675653,0.40011145165784345,"[[20007   534]
 [ 1619   718]]"
22,GBC,0.9228516478713175,0.8220720720720721,0.3123662815575524,0.45271317829457364,"[[20383   158]
 [ 1607   730]]"
23,ETC,0.9456683276510185,0.9866548042704626,0.47454000855798034,0.6408552441490899,"[[20526    15]
 [ 1228  1109]]"
24,logreg,0.9139347845091355,0.6858585858585858,0.290543431750107,0.40817553351367597,"[[20230   311]
 [ 1658   679]]"
25,SVC,0.9418655476877349,0.956482320942883,0.4514334617030381,0.6133720930232559,"[[20493    48]
 [ 1282  1055]]"
26,KNN,0.9395052015036279,0.8858299595141701,0.46812152332049634,0.6125419932810751,"[[20400   141]
 [ 1243  1094]]"
27,GaussianNB,0.7572340239531428,0.22998153432936042,0.5862216516902011,0.3303592958765373,"[[15954  4587]
 [  967  1370]]"
28,Perceptron,0.9051490514905149,0.5366067514248137,0.5237483953786907,0.5300996102208749,"[[19484  1057]
 [ 1113  1224]]"
29,LinearSVC,0.9151586677157094,0.746268656716418,0.25673940949935814,0.38204393505253104,"[[20337   204]
 [ 1737   600]]"
30,SGD,0.8990296354576449,0.5096222380612973,0.30594779632006847,0.3823529411764706,"[[19853   688]
 [ 1622   715]]"
31,Dtree,0.9224582568406329,0.7433016421780466,0.3679931536157467,0.4922724670864339,"[[20244   297]
 [ 1477   860]]"
32,RForest,0.9344785383337705,0.9894859813084113,0.36243046640992727,0.5305355465079863,"[[20532     9]
 [ 1490   847]]"
33,ADA,0.9276597604685725,0.9633152173913043,0.3033804022250749,0.4614383338756915,"[[20514    27]
 [ 1628   709]]"
34,GBC,0.9319433516915814,0.9949238578680203,0.33547282841249465,0.50176,"[[20537     4]
 [ 1553   784]]"
35,ETC,0.9381501879534925,0.9978401727861771,0.39537869062901154,0.5663499846766779,"[[20539     2]
 [ 1413   924]]"
36,logreg,0.9184806364192675,0.8010204081632653,0.2687205819426615,0.4024351169496956,"[[20385   156]
 [ 1709   628]]"
37,SVC,0.9230264883293994,0.7364532019704434,0.38382541720154045,0.5046413502109705,"[[20220   321]
 [ 1440   897]]"
38,KNN,0.9281842818428184,0.7457507082152974,0.45057766367137353,0.5617497999466523,"[[20182   359]
 [ 1284  1053]]"
39,GaussianNB,0.7404056298627503,0.21376350921805468,0.5755241762943946,0.3117394831382548,"[[15594  4947]
 [  992  1345]]"
40,Perceptron,0.927091528979806,0.6782099094299414,0.5447154471544715,0.6041765543426674,"[[19937   604]
 [ 1064  1273]]"
41,LinearSVC,0.9170819127546114,0.8459119496855346,0.23020967051775781,0.36192398250924995,"[[20443    98]
 [ 1799   538]]"
42,SGD,0.9176501442433779,0.7565118912797282,0.2858365425759521,0.41490683229813663,"[[20326   215]
 [ 1669   668]]"
